user_id,role,city,budget,cleanliness,noise_level,sleep_schedule,guest_frequency,smoking,social_level,has_pets,gender_preference,work_schedule,occupation,mbti_type
3a33096a-f628-4e24-888d-b5433786eb29,Seeker,Mountain Village,1071,3,1,Night Owl,Rarely,Smokes Outside,Keep to self,FALSE,Female,Shift Work,Finance,ISFJ
4fb92661-621d-45f1-8695-fb0d2a793991,Lister,Coastal Town,1633,1,1,Flexible,Rarely,Non-Smoker,Friendly but independent,FALSE,No Preference,9-to-5,Creative,ENFP
fa20e3c7-183a-4780-b479-08e27f34e8bc,Seeker,Coastal Town,1783,2,4,Night Owl,Frequently,Smokes Outside,Keep to self,FALSE,Male,9-to-5,Tech,ENFP
7bc3edcd-4f62-4769-af6b-b24898d3c3f7,Seeker,Metro City,1970,5,3,Night Owl,Rarely,Non-Smoker,Friendly but independent,FALSE,No Preference,9-to-5,Healthcare,ISTJ
32906e7f-7325-4454-88e2-f1297a59b6a1,Seeker,Metro City,2024,3,1,Night Owl,Occasionally,Non-Smoker,Very social / Friends,FALSE,No Preference,Student,Tech,ESFJ
2a244e4c-e960-47c3-a504-26b961acd7a2,Seeker,Suburbia,521,3,3,Flexible,Rarely,Non-Smoker,Friendly but independent,TRUE,Male,Student,Healthcare,ESTJ
fc78227b-6dc8-4abc-ab47-30063c72b049,Lister,Metro City,781,1,5,Early Bird,Rarely,Non-Smoker,Very social / Friends,FALSE,Female,Shift Work,Tech,INFJ
5ebda944-9c4b-4b2a-8809-e14c14c6b4af,Lister,Metro City,1861,3,5,Early Bird,Frequently,Non-Smoker,Friendly but independent,FALSE,Female,Remote / WFH,Retail,ENFP
9c471386-5919-46b0-8fde-86443ad7bb02,Lister,Mountain Village,1701,3,5,Early Bird,Occasionally,Non-Smoker,Very social / Friends,TRUE,Male,9-to-5,Creative,ESFJ
db5eb7d1-8ecb-48a7-b9cc-99273e4b03ed,Lister,Coastal Town,2087,2,2,Flexible,Occasionally,Smokes Inside,Friendly but independent,FALSE,No Preference,9-to-5,Tech,ISFJ
948f9d3a-2a71-43e1-aed8-5f01e773b4ed,Seeker,Metro City,1975,4,2,Flexible,Occasionally,Non-Smoker,Keep to self,FALSE,Female,Remote / WFH,Education,ESTJ
dd2b4ba7-3724-48f5-9121-64fe35652da5,Seeker,Suburbia,2249,2,2,Night Owl,Rarely,Smokes Inside,Friendly but independent,FALSE,No Preference,Shift Work,Education,ISFJ
adb6d422-cd9b-455b-a345-319d6f32a3da,Lister,Metro City,2196,3,2,Early Bird,Occasionally,Non-Smoker,Friendly but independent,FALSE,No Preference,9-to-5,Healthcare,ISFP
9ef8f39c-df43-4f20-890f-7c4fdafd05f2,Seeker,Suburbia,2344,5,2,Night Owl,Rarely,Smokes Outside,Keep to self,FALSE,Female,9-to-5,Creative,ISFJ
249aaaf8-1e0c-44ad-be6c-94426aead8d5,Lister,Coastal Town,2171,3,5,Early Bird,Occasionally,Smokes Inside,Very social / Friends,FALSE,Female,Student,Other,ESFP
c5acc767-70bb-4e21-91f9-744e24f88bf5,Seeker,Metro City,2022,2,3,Early Bird,Rarely,Non-Smoker,Very social / Friends,FALSE,No Preference,Student,Education,ISTP
aa2d1a37-1653-459a-a92f-73a88d7185d5,Seeker,Metro City,1073,4,1,Flexible,Occasionally,Smokes Outside,Friendly but independent,FALSE,Male,Shift Work,Healthcare,ISFJ
9506ba9d-906e-4c57-b6ff-c32833d6e074,Seeker,Suburbia,2013,4,2,Flexible,Occasionally,Non-Smoker,Keep to self,FALSE,Male,Shift Work,Education,ESFJ
c73147c8-8d93-49f8-8a62-f6d184ac4941,Seeker,Metro City,2229,1,2,Night Owl,Rarely,Non-Smoker,Very social / Friends,FALSE,Female,Remote / WFH,Other,ESFJ
07185263-0946-4833-8d51-dc8bbed35879,Lister,Suburbia,943,4,3,Early Bird,Rarely,Non-Smoker,Friendly but independent,FALSE,Female,9-to-5,Tech,INFP
592fa987-3343-48b1-925f-c6609a66cef4,Seeker,Suburbia,2416,3,5,Early Bird,Occasionally,Non-Smoker,Very social / Friends,FALSE,Male,9-to-5,Tech,ENTP
ceb3b315-1773-4e22-9c6f-8f13bf3800df,Seeker,Metro City,2267,4,2,Early Bird,Rarely,Non-Smoker,Friendly but independent,FALSE,Male,Shift Work,Creative,ESFJ
305797e1-58e1-4db4-ae6f-bbcbc4008617,Lister,Metro City,1449,2,1,Flexible,Rarely,Non-Smoker,Friendly but independent,FALSE,Male,Student,Tech,ESFJ
cadc0603-6505-4943-a8da-a94bb4f04f23,Seeker,Metro City,1387,4,2,Flexible,Rarely,Smokes Outside,Friendly but independent,FALSE,Female,9-to-5,Retail,ENTP
7e45ff64-aee7-4f02-9be6-0263bcac5d99,Lister,Mountain Village,1691,3,1,Early Bird,Rarely,Non-Smoker,Keep to self,FALSE,Male,9-to-5,Creative,ISFP
0f50ec9c-614a-4be3-b519-391732df95dc,Seeker,Metro City,1521,4,4,Night Owl,Frequently,Non-Smoker,Friendly but independent,FALSE,No Preference,Remote / WFH,Creative,ISTP
d3361251-e285-4fe6-a20b-60b669dd4bd8,Lister,Metro City,1052,3,2,Night Owl,Occasionally,Non-Smoker,Friendly but independent,FALSE,No Preference,Remote / WFH,Creative,ISFJ
26c0bff4-46ff-426a-9837-b74fa6534b79,Lister,Coastal Town,1791,2,2,Night Owl,Rarely,Non-Smoker,Friendly but independent,FALSE,No Preference,Remote / WFH,Tech,ESFJ
2c39a936-8925-4208-bed7-ae25dc720361,Seeker,Suburbia,919,3,2,Early Bird,Rarely,Smokes Outside,Friendly but independent,TRUE,Male,Remote / WFH,Retail,ENFP
f88ee58a-83fd-4339-a0f0-6c5f26a96842,Seeker,Metro City,2033,4,1,Early Bird,Rarely,Smokes Outside,Very social / Friends,TRUE,No Preference,9-to-5,Creative,ESFP
3ac66e59-1c0d-40f0-8ebe-d696654980da,Seeker,Metro City,2330,2,4,Night Owl,Occasionally,Non-Smoker,Friendly but independent,FALSE,No Preference,9-to-5,Tech,ESTP
b9641d2b-34ad-4f52-ac79-b291bed445a3,Lister,Metro City,872,3,3,Early Bird,Occasionally,Non-Smoker,Friendly but independent,TRUE,Male,Shift Work,Tech,ESFJ
4ba36f6e-d6fa-41f4-9a97-d4c9b17070a8,Lister,Suburbia,2336,4,3,Flexible,Rarely,Non-Smoker,Very social / Friends,FALSE,No Preference,Remote / WFH,Healthcare,ISFJ
48d75665-cb31-4a62-9534-9d232a4c9bc0,Seeker,Mountain Village,1344,3,1,Flexible,Occasionally,Non-Smoker,Friendly but independent,FALSE,Male,Remote / WFH,Retail,ISFP
71338b0a-7a8e-49c3-9374-fa1baebc0295,Lister,Suburbia,1564,5,5,Night Owl,Rarely,Smokes Outside,Friendly but independent,FALSE,No Preference,Student,Tech,ISTP
f7bd27b2-c8a8-43c8-89a4-bc70bb3fef84,Lister,Coastal Town,650,3,1,Early Bird,Rarely,Smokes Outside,Friendly but independent,TRUE,Male,Remote / WFH,Education,INFP
75ea3d1a-b748-471f-bbb8-58e078c505c4,Lister,Suburbia,537,4,2,Flexible,Rarely,Non-Smoker,Friendly but independent,TRUE,Male,9-to-5,Healthcare,ISTJ
d2b5b086-76d9-41b4-8ba6-785f13bbf959,Seeker,Metro City,1878,3,3,Night Owl,Rarely,Non-Smoker,Friendly but independent,FALSE,Female,Remote / WFH,Tech,ISFJ
4b2545be-8574-42fa-9ede-bcff55d78a57,Lister,Coastal Town,923,3,3,Early Bird,Occasionally,Non-Smoker,Keep to self,TRUE,No Preference,Remote / WFH,Creative,ENFJ
b0de06b2-3ae2-4417-b85a-936c31c6c789,Lister,Coastal Town,1431,3,3,Flexible,Rarely,Non-Smoker,Keep to self,FALSE,Male,Remote / WFH,Finance,ISTJ
c8f88b78-420e-4af6-b00b-ede0ef276e6e,Seeker,Metro City,2302,4,5,Night Owl,Rarely,Non-Smoker,Keep to self,FALSE,Male,9-to-5,Creative,ISFJ
895cd345-8a16-4c62-987d-d0de2a177c45,Lister,Metro City,2485,3,3,Early Bird,Rarely,Non-Smoker,Friendly but independent,FALSE,Male,Student,Other,ENTJ
d7ad1ea1-190e-4ca5-b6e3-77d38fc2ea71,Seeker,Metro City,1444,2,5,Night Owl,Rarely,Non-Smoker,Friendly but independent,FALSE,Male,Remote / WFH,Retail,ISTJ
6b81b5bb-f936-44d0-9445-217675b226ad,Lister,Mountain Village,1267,3,3,Early Bird,Occasionally,Non-Smoker,Friendly but independent,FALSE,Female,9-to-5,Tech,INFP
936420a1-d813-4c76-971d-906dcd4c4414,Seeker,Suburbia,1630,3,4,Flexible,Frequently,Non-Smoker,Keep to self,FALSE,Female,9-to-5,Tech,ISFJ
dcff54ad-a51b-4b0d-8707-9ee8d0343621,Seeker,Metro City,1028,4,2,Early Bird,Rarely,Non-Smoker,Friendly but independent,FALSE,No Preference,9-to-5,Healthcare,ISTJ
0033d40e-876b-4ab5-a414-2fb756eb78d6,Seeker,Metro City,2134,3,2,Early Bird,Occasionally,Non-Smoker,Keep to self,FALSE,Female,9-to-5,Retail,ESTJ
a7f62060-7ad3-49e0-928c-39e7bce7ef1b,Seeker,Metro City,1891,4,5,Night Owl,Rarely,Non-Smoker,Friendly but independent,FALSE,Male,9-to-5,Creative,ISTP
4915f154-dec0-46b6-845b-32d72f15e00a,Seeker,Metro City,1732,3,1,Night Owl,Frequently,Non-Smoker,Friendly but independent,FALSE,Female,Student,Healthcare,ESTJ
b8e92d6d-6eed-4d98-a987-04520865a6ed,Seeker,Metro City,2156,3,5,Night Owl,Rarely,Non-Smoker,Friendly but independent,FALSE,No Preference,9-to-5,Tech,ESFP
aa71b992-1a17-4153-9c10-8f8484aa1421,Seeker,Mountain Village,765,2,4,Early Bird,Occasionally,Non-Smoker,Friendly but independent,FALSE,Female,Remote / WFH,Other,ESFJ
dbb33d00-dfe8-4c3c-b9ae-a196f58117a6,Lister,Suburbia,1907,4,4,Early Bird,Occasionally,Smokes Outside,Friendly but independent,FALSE,No Preference,9-to-5,Tech,ISFJ
148b7b47-31ef-4b0b-9b04-490c0df4143f,Seeker,Metro City,1157,2,1,Night Owl,Frequently,Non-Smoker,Very social / Friends,FALSE,Male,Remote / WFH,Creative,ESTJ
962f3288-0356-4d9f-8391-4752851cfbfa,Lister,Metro City,1623,3,1,Night Owl,Occasionally,Smokes Inside,Friendly but independent,TRUE,No Preference,Remote / WFH,Finance,ENFP
b29c2400-404c-4a39-8936-d04b37ed95c0,Seeker,Suburbia,1343,1,2,Flexible,Rarely,Non-Smoker,Friendly but independent,TRUE,Female,Student,Finance,INFJ
2ea0867b-c449-44ef-ba9b-0a893d03c9af,Seeker,Coastal Town,1661,3,3,Flexible,Rarely,Non-Smoker,Friendly but independent,FALSE,Female,9-to-5,Education,ENFJ
a85832ae-e82c-438e-bdcc-b09a7084dd14,Seeker,Metro City,757,5,1,Early Bird,Rarely,Non-Smoker,Keep to self,FALSE,No Preference,Remote / WFH,Tech,ISFJ
b00f9b81-3c6e-46eb-b9c6-ed5ba86e6bfc,Seeker,Metro City,2130,2,1,Early Bird,Occasionally,Smokes Outside,Friendly but independent,FALSE,Female,9-to-5,Retail,ISTJ
4cb19e31-4698-44c0-93af-7b6faabce203,Lister,Mountain Village,2163,3,2,Early Bird,Rarely,Non-Smoker,Friendly but independent,FALSE,Male,Shift Work,Healthcare,ISTJ
94a03019-31e2-476f-a0a8-74c3f99a6f50,Lister,Suburbia,1053,3,2,Early Bird,Rarely,Non-Smoker,Friendly but independent,FALSE,Male,9-to-5,Tech,ISTJ
cd32a5b7-28f9-45dd-b469-6bf9734fbae1,Seeker,Coastal Town,1034,2,2,Early Bird,Frequently,Smokes Outside,Very social / Friends,TRUE,No Preference,9-to-5,Other,ISFP
b40e0692-a20a-4f4c-8d82-a5491795c179,Lister,Suburbia,1415,1,1,Night Owl,Rarely,Smokes Outside,Very social / Friends,FALSE,Male,Remote / WFH,Tech,INTP
1bd33649-abb9-418a-a783-b927ea0e1cc0,Lister,Metro City,1315,3,2,Night Owl,Occasionally,Non-Smoker,Keep to self,TRUE,No Preference,Student,Tech,ISFJ
75c7fb16-c0c2-40ab-b07e-1bd091c3ba51,Lister,Suburbia,1065,3,5,Flexible,Occasionally,Non-Smoker,Keep to self,FALSE,No Preference,Student,Finance,ISFJ
a4320da8-c753-45d0-ac27-f469690bf1b4,Seeker,Metro City,1449,2,2,Early Bird,Occasionally,Non-Smoker,Friendly but independent,FALSE,No Preference,9-to-5,Creative,ISFP
3dea2340-fee8-46c7-a8fc-24de9a0bce60,Seeker,Coastal Town,957,1,3,Early Bird,Rarely,Non-Smoker,Friendly but independent,FALSE,Female,Student,Education,ISFJ
6a54047b-af43-4fb8-8b09-6f5874579ec6,Lister,Suburbia,2347,3,1,Early Bird,Rarely,Non-Smoker,Friendly but independent,FALSE,Female,9-to-5,Other,ISFP
d02839cf-ee0c-4b65-bed7-ec8842f513a7,Seeker,Metro City,2154,5,3,Early Bird,Occasionally,Smokes Outside,Very social / Friends,TRUE,No Preference,9-to-5,Other,ESTJ
68ba7a57-7538-469c-90a2-ea07bfb9b88c,Seeker,Metro City,980,3,5,Early Bird,Occasionally,Non-Smoker,Friendly but independent,FALSE,No Preference,Student,Healthcare,ENTP
d6be5919-0d09-4e36-8b82-bb14df26de22,Seeker,Metro City,624,5,3,Night Owl,Rarely,Smokes Outside,Keep to self,FALSE,No Preference,Remote / WFH,Healthcare,ISFP
32504be7-1d21-43ab-9272-b26bf5f7d41b,Seeker,Suburbia,2167,3,1,Flexible,Occasionally,Smokes Outside,Very social / Friends,FALSE,Female,Remote / WFH,Education,ENFP
6686eed5-0dea-4fe6-b440-4d7e64f99efd,Seeker,Coastal Town,867,1,2,Night Owl,Frequently,Non-Smoker,Friendly but independent,FALSE,No Preference,9-to-5,Retail,ESTJ
f8d38a84-499f-4acf-990d-dbb97c023e0d,Seeker,Metro City,1196,4,4,Early Bird,Occasionally,Smokes Outside,Keep to self,FALSE,No Preference,Remote / WFH,Retail,INTJ
f78e0785-723b-48cc-b749-59f0e1c26e18,Seeker,Metro City,2416,4,3,Flexible,Occasionally,Non-Smoker,Friendly but independent,FALSE,No Preference,Remote / WFH,Finance,ENFP
5e581741-6ef3-464b-a524-9f9e622621d6,Seeker,Metro City,1372,2,3,Early Bird,Frequently,Non-Smoker,Friendly but independent,FALSE,Male,Student,Tech,ESFJ
8d45dbd5-8c02-45a0-abca-75255c3e40b5,Seeker,Suburbia,1667,3,2,Flexible,Occasionally,Non-Smoker,Friendly but independent,TRUE,Male,9-to-5,Tech,INFJ
00171b7a-3dc4-4081-97af-5acdfb765aa1,Seeker,Metro City,863,2,2,Early Bird,Rarely,Smokes Outside,Friendly but independent,FALSE,Male,Remote / WFH,Healthcare,ISFJ
f23e4e42-2d1d-4d7c-83c8-97fbf7163910,Seeker,Coastal Town,1121,1,2,Early Bird,Occasionally,Smokes Outside,Keep to self,FALSE,Female,Student,Education,ESTJ
84516a8d-d92a-40ab-8d1b-687d4a0368f4,Seeker,Coastal Town,1317,5,2,Flexible,Occasionally,Non-Smoker,Friendly but independent,FALSE,No Preference,Student,Creative,ISFJ
3bb0cb2b-02f9-4876-845a-cafe798fe404,Lister,Metro City,764,3,3,Flexible,Occasionally,Non-Smoker,Keep to self,FALSE,No Preference,Shift Work,Creative,ENFJ
cf74cda8-f684-4775-9221-50d912870d6b,Seeker,Mountain Village,2288,4,1,Night Owl,Rarely,Non-Smoker,Friendly but independent,FALSE,No Preference,9-to-5,Healthcare,ISFJ
17b7ab29-5433-40a9-9cab-6abe7826b39d,Seeker,Metro City,1950,3,1,Flexible,Rarely,Non-Smoker,Friendly but independent,FALSE,No Preference,Remote / WFH,Healthcare,ESTP
58347a74-ecc4-47e6-bfe8-727c756fbb74,Lister,Metro City,2189,4,4,Flexible,Occasionally,Non-Smoker,Very social / Friends,FALSE,Male,9-to-5,Tech,ENFP
223642fe-a280-41e4-ad8c-7d966844c620,Seeker,Metro City,1050,3,1,Flexible,Rarely,Non-Smoker,Very social / Friends,FALSE,Male,Student,Healthcare,ESTJ
f377f275-d20b-4b9f-ad6d-e1115b2b4792,Seeker,Metro City,2120,3,5,Night Owl,Occasionally,Non-Smoker,Very social / Friends,FALSE,Male,Student,Creative,INFJ
6c35acf0-17f4-4401-af0c-c8cc7a94d3b6,Seeker,Metro City,1840,1,1,Flexible,Frequently,Smokes Inside,Friendly but independent,FALSE,No Preference,Remote / WFH,Finance,ESFP
a044079b-d9cf-46eb-964b-8b7c62c15c2e,Lister,Metro City,2381,1,2,Early Bird,Occasionally,Non-Smoker,Friendly but independent,FALSE,Female,Student,Tech,ESTJ
82ed2bec-a173-413e-8d35-4d8b6d93b2e6,Seeker,Suburbia,728,3,5,Night Owl,Frequently,Non-Smoker,Very social / Friends,TRUE,No Preference,Remote / WFH,Tech,ISFJ
57604e31-16a6-4a72-a1b4-18911da176f0,Seeker,Metro City,1113,2,2,Early Bird,Occasionally,Non-Smoker,Friendly but independent,FALSE,Male,Student,Tech,ISFP
9f031743-547c-4f7a-b648-b7cba7bd8336,Seeker,Metro City,1871,5,1,Flexible,Occasionally,Non-Smoker,Friendly but independent,FALSE,No Preference,9-to-5,Healthcare,INFJ
6f6df267-4ad1-4738-8b6f-3369eaaddebf,Seeker,Suburbia,1424,4,5,Night Owl,Occasionally,Non-Smoker,Friendly but independent,TRUE,Male,9-to-5,Tech,ISFJ
228725bf-af5f-458d-891f-bce2a10a2239,Lister,Metro City,877,3,2,Early Bird,Occasionally,Smokes Outside,Friendly but independent,FALSE,Female,9-to-5,Education,ISTJ
984a628e-2d72-4f7c-8cf3-d2fed39412af,Seeker,Suburbia,580,4,4,Early Bird,Occasionally,Non-Smoker,Friendly but independent,FALSE,No Preference,Remote / WFH,Healthcare,ENFP
382bf262-0c6a-41b8-aea1-ad13bfec3365,Lister,Mountain Village,1528,3,5,Flexible,Occasionally,Non-Smoker,Friendly but independent,FALSE,No Preference,Remote / WFH,Other,ISTP
ab695783-fb54-497e-a53e-f722a3e0af83,Seeker,Metro City,1262,3,1,Early Bird,Rarely,Non-Smoker,Very social / Friends,FALSE,Male,9-to-5,Tech,ENTP
7665cf57-4717-4a9d-af21-14d3335a555b,Lister,Suburbia,1302,2,1,Flexible,Rarely,Smokes Inside,Very social / Friends,FALSE,No Preference,9-to-5,Education,INTP
76100dae-d7af-4bca-b7a5-7d8b83b2f8d8,Seeker,Metro City,2101,4,1,Night Owl,Rarely,Smokes Outside,Very social / Friends,FALSE,No Preference,Student,Finance,ENFP
e3f5f123-c11b-413f-a2a5-862ed4382d45,Seeker,Metro City,2001,4,3,Early Bird,Rarely,Non-Smoker,Friendly but independent,FALSE,Female,Shift Work,Creative,ENFJ
f63b7551-f691-4294-a917-27507df67882,Lister,Coastal Town,1814,3,1,Night Owl,Occasionally,Non-Smoker,Friendly but independent,FALSE,No Preference,Remote / WFH,Other,ESTP
488915aa-bff0-48b8-9aab-81e6df01bc85,Lister,Metro City,1974,2,1,Flexible,Rarely,Smokes Outside,Friendly but independent,FALSE,No Preference,9-to-5,Retail,INTP
be058842-aa13-4f8b-9ba7-b30160249848,Seeker,Suburbia,1754,2,2,Night Owl,Frequently,Non-Smoker,Very social / Friends,FALSE,No Preference,Remote / WFH,Healthcare,ESTJ
8f4258f0-8a06-4165-b98f-31bdeef9b0a9,Lister,Metro City,987,4,3,Early Bird,Rarely,Non-Smoker,Friendly but independent,FALSE,No Preference,9-to-5,Tech,ENFP
d37f7c19-2ab5-497a-af28-90272f36cf09,Seeker,Suburbia,544,3,2,Night Owl,Occasionally,Smokes Outside,Keep to self,FALSE,Female,Remote / WFH,Healthcare,INFP
cc1e029c-c0e4-473a-af90-299147a50f50,Lister,Coastal Town,1570,3,2,Early Bird,Rarely,Smokes Outside,Very social / Friends,FALSE,Female,Remote / WFH,Healthcare,ESFP
db2b46ef-5c7b-43a4-80cc-619abc50bb33,Seeker,Suburbia,1906,4,3,Flexible,Occasionally,Smokes Inside,Friendly but independent,FALSE,Female,Remote / WFH,Creative,ISFJ
47b7c70a-2bbc-4de2-9f29-812cebf16ea2,Lister,Coastal Town,1610,3,2,Early Bird,Rarely,Non-Smoker,Friendly but independent,FALSE,Male,Remote / WFH,Retail,ESTJ
7a1299f3-bf40-45d3-8d88-cfb1aa6da7f7,Lister,Metro City,2496,1,5,Early Bird,Rarely,Non-Smoker,Very social / Friends,TRUE,Female,Shift Work,Other,INTP
4dd47e3f-e953-49fe-82d3-d124c90e64ad,Seeker,Metro City,1608,5,1,Night Owl,Rarely,Smokes Outside,Keep to self,FALSE,Male,Shift Work,Healthcare,INFJ
ca8f103d-4f45-4eb1-a2e8-8205ca20a94e,Seeker,Mountain Village,1518,1,2,Flexible,Rarely,Non-Smoker,Friendly but independent,TRUE,No Preference,Student,Retail,ISFJ
e63dc4f3-ddb2-4815-9b3f-b971ee681393,Seeker,Metro City,835,3,4,Night Owl,Rarely,Non-Smoker,Friendly but independent,TRUE,Female,Remote / WFH,Other,ISTJ
1f5339e7-a2e6-494a-b598-3a4f0d70d260,Seeker,Coastal Town,1046,2,2,Night Owl,Occasionally,Smokes Outside,Keep to self,FALSE,No Preference,9-to-5,Healthcare,ISFP
37e196be-a9ee-484e-9fc1-97c2da2a065c,Seeker,Metro City,734,4,2,Early Bird,Occasionally,Smokes Outside,Friendly but independent,TRUE,No Preference,Remote / WFH,Finance,ISFJ
f15ea83d-a188-432a-943c-6ea08aee8de7,Lister,Suburbia,1627,2,1,Flexible,Rarely,Smokes Outside,Friendly but independent,FALSE,No Preference,Shift Work,Creative,ISTJ
fa3f34b0-2d4e-4cc0-9905-4ea49955569b,Seeker,Metro City,1535,3,2,Early Bird,Rarely,Non-Smoker,Keep to self,FALSE,No Preference,Remote / WFH,Education,ISFJ
c42f521e-dba4-4901-845d-53662599eed6,Seeker,Coastal Town,1758,3,1,Night Owl,Rarely,Smokes Outside,Very social / Friends,FALSE,Female,9-to-5,Tech,ENFP
e8e9ed24-b7f8-4ba6-93b6-2c08e699bc3d,Seeker,Metro City,2282,2,3,Flexible,Rarely,Non-Smoker,Friendly but independent,FALSE,Female,9-to-5,Tech,ESFJ
452fc3b6-4b4f-4e5f-939f-bf42d9e85e07,Seeker,Metro City,1816,3,3,Night Owl,Occasionally,Non-Smoker,Keep to self,FALSE,Male,Shift Work,Creative,ISFJ
e0a84796-5ef0-49a8-b8fe-cdbc238c1469,Seeker,Metro City,965,3,3,Night Owl,Rarely,Smokes Outside,Friendly but independent,FALSE,Male,9-to-5,Other,ESFP
b95180dc-8798-4e4c-9f97-752bbf43e595,Seeker,Metro City,1580,1,2,Early Bird,Rarely,Smokes Outside,Friendly but independent,TRUE,Female,Student,Education,ISFJ
a6eb1c0e-d1db-4c22-b9e7-414632fe51e8,Lister,Metro City,2476,3,3,Flexible,Rarely,Smokes Outside,Very social / Friends,FALSE,Male,Student,Tech,ENTP
4b62038a-8e27-4122-a335-f2ed5d7e0c61,Lister,Metro City,2221,2,3,Flexible,Rarely,Non-Smoker,Friendly but independent,FALSE,Female,9-to-5,Creative,ISFJ
488b9251-b388-4ace-9f06-886e57e0ab5d,Seeker,Metro City,1865,1,3,Early Bird,Occasionally,Smokes Outside,Friendly but independent,FALSE,Female,Remote / WFH,Creative,ESFJ
a1fbdb5c-031d-45e1-a6ad-837604f99c13,Seeker,Metro City,1981,4,1,Early Bird,Rarely,Smokes Inside,Keep to self,FALSE,Female,Remote / WFH,Finance,ESFJ
b902ef3d-13bb-49da-9910-b4aa7f1777aa,Seeker,Metro City,1556,2,3,Flexible,Occasionally,Non-Smoker,Very social / Friends,TRUE,No Preference,Student,Other,ISFP
852d94c6-e357-4073-bd82-9d6f7b323fa7,Lister,Metro City,1132,4,1,Early Bird,Occasionally,Non-Smoker,Friendly but independent,FALSE,Female,Shift Work,Healthcare,ISTP
